usaf,wban,name,country,state,call,lat,lon,elev,begin,end
692364,99999,FALLON NAS,US,NV,KQAV,39.417,-118.7,+1199.0,19781027,20020501
692494,99999,SUPERIOR VALLEY G R,US,CA,KQCK,35.333,-117.1,+0961.0,19950401,19991210
692534,99999,FORT CAMPBELL / TEST,US,KY,,36.667,87.5,+0114.0,19870427,19910405
692584,99999,CREECH AFB TMOS-P,US,NV,KQCR,36.583,-115.667,+0955.0,19831201,19910314
692644,99999,MUSCATATUCK TRNG CTR,US,IN,KQMT,39.05,-85.617,+0247.0,19970724,19970724
692694,99999,FOB MIAMI NTC/EXERCI,US,CA,KQMY,35.283,-116.35,+0570.0,19910209,20020125
692704,99999,MPRC-FT STEWART,US,GA,KQRC,32.033,-81.667,+0018.0,19850125,19980530
692784,99999,KING SALMON,US,AK,KQRV,58.667,-156.65,+0014.0,19841127,20001205
694300,99999,EAGLE RANGE       &          ,US,UT,,41.05,-113.067,+1292.0,19800423,19910626
694604,99999,YUKON TEST AREA,US,AK,,64.721,-146.529,+0534.9,19831011,19871010
695414,99999,RED PASS LAKE / NTC,US,CA,,35.267,-116.367,+0683.1,20010319,20080611
696334,99999,ORO GRANDE - EXERCISE,US,NM,,32.417,-105.993,+1237.8,19910304,19990625
696454,99999,AUX 2 / EXERCISE             ,US,AZ,,32.533,-114.517,+0082.0,19840426,19920829
696464,99999,TACTS AIRFIELD / EXERCISE,US,AZ,,32.5,-114.15,+0248.1,19900809,19960709
697534,99999,FORT IRWIN,US,CA,KQIW,35.283,-116.617,+0322.0,19850218,20080201
697564,99999,STOVAL AIRFIELD / EXERCISE,US,AZ,,32.733,-113.633,+0117.0,19830901,19970418
698114,99999,METMFR 29 PALMS              ,US,CA,KQGY,34.3,-116.15,+0626.0,19840216,19980618
698414,99999,319 MISSILE SQ               ,US,CO,KQXG,40.5,-103.833,+1880.0,20010320,20010411
699604,03145,YUMA MCAS,US,AZ,KNYL,32.65,-114.617,+0064.9,19870701,20091231
700271,27506,BARROW POINT BARROW,US,AK,KPBA,71.333,-156.65,+0006.1,19740318,19750302
700300,27508,WAINWRIGHT (DEW)             ,US,AK,PAWI,70.617,-159.85,+0027.0,19730101,19991231
700365,99999,SAGWON,US,AK,SAG,69.367,-148.7,+0198.0,20130106,20130106
700450,27512,LONELY,US,AK,LNI,70.917,-153.25,+0009.1,19730101,19890925
700630,27403,OLIKTOK POW 2                ,US,AK,POLI,70.5,-149.883,+0004.9,19730101,19990929
700631,25715,ATKA AIRPORT,US,AK,PAAK,52.22,-174.206,+0017.1,20060101,20130430
700635,26465,GALBRAITH LAKE AIRPORT,US,AK,PAGB,68.479,-149.49,+0812.6,20060105,20200504
700635,99999,GALBRAITH LAKE,US,AK,PAGB,68.483,-149.483,+0814.0,19750108,20051229
700636,27405,PRUDHOE BAY,US,AK,PAUD,70.25,-148.333,+0014.0,19730101,19990614
700639,99999,HAPPY VALLEY,US,AK,,69.167,-148.817,+0297.0,19740616,19780111
700860,27401,BARTER ISLAND AIRPORT,US,AK,PABA,70.134,-143.577,+0000.6,19471001,20200910
700863,99999,BARTER ISLAND LRRS,US,AK,PBTI,70.134,-143.577,+0001.5,19901104,19910621
700867,99999,FRANKLIN BLUFFS,US,AK,,69.717,-148.683,+0108.0,19750108,19770816
700868,99999,ATIGUN,US,AK,,68.183,-149.417,+1032.0,19750112,19750401
700869,99999,CHANDALAR SHELF,US,AK,5CD  ,68.067,-149.583,+0982.0,19750109,19780923
701045,99999,RED DOG,US,AK,PADG,68.067,-162.833,+0297.0,19980226,20051230
701046,26418,CENTRAL AIRPORT,US,AK,PACE,65.567,-144.765,+0280.4,20020902,20130210
701195,26625,SHISHMAREF/NEW AIRPORT,US,AK,PASH,66.25,-166.089,+0002.1,20060101,20200227
701196,99999,BOB BAKER MEM,US,AK,PAIK,66.976,-160.437,+0050.6,19831222,19850630
701213,26638,POINT LAY LIZ 2              ,US,AK,PIZ,69.733,-163.017,+0006.1,19920318,19960630
701620,26508,UMIAT,US,AK,PAUM,69.367,-152.133,+0085.0,19460101,20130411
701620,99999,UMIAT,US,,PAUM,69.367,-152.133,+0085.0,20000101,20041126
701719,99999,SHUNGNAK,US,AK,PAGH,66.888,-157.162,+0060.0,19850208,19891011
701745,26480,CHANDALAR LAKE AIRPORT,US,AK,PALR,67.511,-148.493,+0577.6,20060101,20141009
701746,99999,DIETRICK (PRIVATE)           ,US,AK,,67.683,-149.733,+0447.0,19730825,19750729
701747,26467,MERRILL PASS WEST,US,AK,PAER,61.25,-153.82,+0358.0,19730825,19750729
701747,26554,MERRILL PASS WEST,US,AK,PAER,61.267,-153.8,+0356.6,20050101,20140615
701748,99999,PROSPECT CREEK AIRPORT,US,AK,PAPR,66.817,-150.65,+0335.0,19730825,20200530
701749,99999,WISEMAN ARPT,US,AK,,67.4,-150.117,+0360.0,19940819,20020803
701790,99999,FIVE MILE CAMP,US,AK,,65.933,-149.833,+0155.0,19771103,19850531
701791,99999,MANLEY HOT SPRINGS,US,AK,,65,-150.65,+0085.0,19431204,19891013
701793,26524,MANLEY HOT SPRINGS,US,AK,PAML,64.999,-150.638,+0082.9,20060101,20140501
701795,99999,FIVE MILE CAMP,US,AK,,65.933,-149.833,+0155.0,19730825,19960625
701970,99999,CENTRAL,US,AK,,65.483,-144.667,+0252.0,20021018,20071231
702031,26620,MOSES POINT,US,AK,,64.7,-162.05,+0006.1,19430608,19790128
702035,99999,SAVOONGA,US,AK,PASA,63.683,-170.483,+0016.0,19870629,20051201
702060,26632,NORTHEAST CAPE,US,AK,KOHC,63.317,-168.967,+0009.1,19520729,19690819
702084,26650,EMMONAK,US,AK,PAEM,62.785,-164.491,+0004.3,20060101,20200828
702091,99999,MOUNTAIN VILLAGE,US,AK,,62.083,-163.717,+0050.0,19441018,19450927
702120,26633,CAPE ROMANZOFF AFS,US,AK,PACZ,61.783,-166.033,+0146.0,19530401,19991231
702180,99999,NUNIVAK,US,,,60,-166,-0999.9,19440101,19730227
702185,26622,MEKORYUK AIRPORT,US,AK,PAMY,60.383,-166.2,+0013.7,20060105,20200908
702224,99999,EAGLE AIRPORT,US,AK,,64.783,-141.15,+0268.0,19810619,19950512
702225,99999,HUSLIA,US,AK,PAHS,65.7,-156.383,+0055.0,19940103,20050817
702312,26519,FAREWELL LAKE,US,AK,PAFK,62.54,-153.617,+0321.0,19970402,19991231
702312,26555,FAREWELL LAKE SEAPLANE BASE,US,AK,PAFK,62.543,-153.623,+3207.7,20060101,20140419
702460,99999,MINCHUMINA,US,AK,PAMH,63.9,-152.267,+0214.0,20000101,20041230
702480,99999,FAREWELL/INTERMEDIATE FIELD,US,,,62.517,-153.883,+0458.0,19730101,19840605
702483,99999,FAREWELL LAKE,US,AK,PAFW,62.533,-153.617,+0323.0,19850130,19960425
702495,26547,HAYES RIVER AIRPORT,US,AK,PAHZ,61.983,-152.083,+0305.1,20060101,20110127
702520,99999,TALKEETNA  AK,US,AK,,62.3,-150.417,+0151.0,20050213,20050213
702550,26514,SKWENTNA AIRPORT,US,AK,PASW,61.977,-151.217,+0045.7,19730101,20161001
702605,99999,CLEAR,US,AK,PACL,64.301,-149.12,+0168.2,19471010,19471130
702615,99999,WAINWRIGHT AAF,US,AK,PAFB,64.833,-147.617,+0140.0,19410206,20051230
702616,99999,OLD MAN,US,AK,,66.45,-150.583,+0389.0,19750108,19761123
702627,26561,RUBY  AIRPORT,US,AK,PARY,64.727,-155.47,+0199.0,20061001,20200603
702628,99999,MARSHALL DON HUNTER SR,US,AK,PADM,61.864,-162.026,+0031.4,20080101,20180103
702640,26414,SUMMIT,US,AK,PAST,63.331,-149.127,+0734.3,19730101,19840107
702646,99999,MT MCKINLEY NATL PK,US,AK,,63.65,-148.8,+0625.0,19760116,19760427
702647,26499,HEALY RIVER AIRPORT,US,AK,PAHV,63.866,-148.969,+3945.3,20060101,20120608
702648,46406,CANTWELL AIRPORT,US,AK,PATW,63.391,-148.956,+0667.5,20060102,20110827
702648,99999,CANTWELL CANTWELL,US,AK,PATW,63.4,-148.95,+0668.0,19831103,20051205
702653,99999,EIELSON AFB       &          ,US,AK,,64.65,-147.067,+0167.0,19750814,19750814
702660,99999,FORT GREELY  AK,US,AK,,63.967,-145.7,+0398.0,19440626,19900628
702673,99999,BIG DELTA ARCTIC WX,US,AK,,64,-145.717,+0389.0,19800303,19841204
702674,99999,CIRCLE CITY AIRPORT,US,AK,,65.833,-144.067,+0182.0,19790507,20091019
702675,26484,PAXSON AIRPORT,US,AK,PAXK,63.032,-145.498,+0823.0,20060101,20101003
702677,99999,ISABELL PASS CAMP,US,AK,Z32  ,63.083,-145.5,+0978.0,19750929,19761202
702680,99999,GLENNALLEN  AK,US,AK,,62.1,-145.967,+0573.0,19750401,19900504
702695,96402,JONESVILLE MINE AIRPORT,US,AK,PAJV,61.714,-148.909,+0167.6,20060101,20111102
702696,99999,LAZY MTN/WOLVERINE,US,AK,,61.633,-149.033,+0236.0,19780315,20040214
702697,99999,NEW STUYAHOK,US,AK,PANW,59.45,-157.33,+0092.0,20080101,20180322
702700,99999,FT. RICHARDSON/BRYANT AHP  AK,US,,PAFR,61.267,-149.65,+0115.0,19731201,20180520
702711,26439,SHEEP MOUNTAIN AIRPORT,US,AK,PASP,61.812,-147.507,+0853.4,20050101,20111101
702716,99999,TAHNETA PASS,US,AK,5GN  ,61.817,-147.55,+0900.0,19730102,19960104
702717,99999,SELAWIK,US,AK,PALK,66.6,-159.986,+0007.6,19730101,20160930
702719,99999,SNOWSHOE LAKE,US,AK,,62.033,-142.667,+0735.0,19750917,19761207
702725,99999,ANCHORAGE LAKE HOOD,US,AK,PALH,61.183,-149.967,+0022.0,19730104,20011231
702736,99999,FT RICHARDSON/BRYN&          ,US,AK,,61.267,-149.65,+0115.0,19760625,19830721
702740,99999,PALMER,US,AK,PAAQ,61.595,-149.089,+0074.0,19730101,19981231
702745,26560,WILLOW AIRPORT,US,AK,PAUO,61.748,-150.054,+0062.5,20060101,20111101
702750,26442,NATIONAL WEATHER SERVICE OFFI,US,AK,PAVW,61.13,-146.352,+0029.0,19730101,20140401
702754,99999,VALDEZ,US,AK,,61.133,-146.25,+0037.0,19960815,19961009
702755,46404,MCCARTHY AIRPORT,US,AK,PAMX,61.437,-142.904,+0466.7,20060101,20140901
702757,26444,WHITTIER AIRPORT,US,AK,PAWR,60.783,-148.733,+0011.9,20060101,20120520
702790,26417,CAPE HINCHINBROOK,US,AK,,60.233,-146.65,+0056.0,19740101,19800622
702795,99999,HINCHINBROOK,US,AK,,60.4,-146.083,+0110.0,19730101,19740529
702913,46402,DEVILS MOUNTAIN LODGE AIRPORT,US,AK,PABN,62.402,-142.995,+0877.8,20060101,20141001
702915,26486,DUFFY'S TAVERN AIRPORT,US,AK,PADT,62.709,-143.981,+0668.1,20060101,20110701
702923,26440,TANACROSS,US,AK,TSG,63.383,-143.333,+0472.0,19440522,19500901
702924,99999,TOK,US,AK,PATJ,63.317,-142.717,+0509.0,19771006,19850729
702965,99999,JOHNSTONE POINT,US,AK,,60.483,-146.6,+0014.0,19750401,19820729
702986,26557,BIG RIVER LAKE,US,AK,PALV,60.814,-152.297,+0018.3,20060101,20190808
703051,26521,HOLY CROSS AIRPORT,US,AK,PAHC,62.183,-159.767,+0006.1,20060101,20200911
703052,26652,KALSKAG AIRPORT,US,AK,PALG,61.536,-160.341,+0016.8,20060117,20200322
703052,99999,KALSKAG,US,AK,PALG,61.533,-160.333,+0017.0,20050929,20051130
703055,99999,MANOKOTAK,US,AK,PAMB,58.99,-159.05,+0016.0,20080101,20180322
703080,25713,ST PAUL ISLAND AIRPORT,US,AK,PASN,57.155,-170.222,+0010.7,19431105,20200829
703263,99999,KING SALMON,US,AK,,58.683,-156.683,+0017.0,19801002,19960630
703430,25403,MIDDLETON ISLAND,US,AK,PAMD,59.433,-146.333,+0014.0,19771101,19991231
703431,25402,MIDDLETON ISLAND AUT,US,AK,PAMD,59.433,-146.333,+0014.0,19730105,19771121
703570,99999,SITKINAK(USCG)               ,US,AK,,56.55,-154.133,+0017.0,19730104,19790105
703600,99999,CAPE SAINT ELIAS,US,AK,,59.8,-144.6,+0018.0,19730101,19810424
703627,99999,PEDRO BAY,US,AK,,59.783,-154.133,+0014.0,20040702,20040928
703650,25316,CAPE SPENCER,US,AK,KCSP,58.2,-136.633,+0027.1,19730101,19891011
703724,99999,WILLOW WEST,US,AK,,61.75,-150.05,+0063.4,19771203,19910124
703865,99999,LEVEL ISLAND,US,AK,,56.467,-133.1,+0030.0,19730901,19780329
703880,25315,CAPE DECISION,US,AK,KCDE,56,-134.133,+0014.9,19730101,19891011
703880,99999,CAPE DECISION(AMOS)          ,US,AK,CDE,56,-134.133,+0014.9,20001201,20041123
703886,25348,PORT ALEXANDER SPB,US,AK,PAAP,56.247,-134.645,+0003.7,20060101,20151117
703894,99999,KLAWOCK,US,AK,PAKW,55.567,-133.067,+0024.0,19801015,19991231
703925,99999,KOLIGANEK,US,AK,PAJZ,59.73,-157.26,+0082.0,20080101,20180322
703980,25308,ANNETTE ISLAND AIRPORT,US,AK,PANT,55.039,-131.579,+0033.2,19410714,20191001
704090,45709,ATTU,US,AK,,52.833,173.183,+0021.0,19430607,19871020
704545,99999,AMCHITKA ISLAND,US,AK,,51.383,179.267,+0069.0,19430131,19931001
704820,25626,NIKOLSKI,US,AK,,52.95,-168.85,+0021.0,19420910,19940514
704851,99999,UMNAK (FORT GLEN)            ,US,AK,,53.367,-167.9,+0039.0,19420226,19501123
704896,25625,PORT MOLLER,US,AK,KPML,56,-160.517,+0321.0,19590626,19740306
704897,25515,DRIFTWOOD BAY,US,AK,KDFB,53.967,-166.85,+0395.9,19730207,19731224
704898,99999,REBERT (BOB) CURTIS MEMORIAL,US,AK,PFNO,66.818,-161.022,+0016.8,19730103,19910124
713407,99999,SLEETMUTE,US,AK,SLQ,61.717,-157.15,+0054.0,19940103,19940404
720046,99999,NEWHALL,US,CA,K3A6 ,34.37,-118.57,+0427.0,20040224,20110905
720059,99999,VALLE,US,AZ,K40G ,35.651,-112.148,+1828.5,20040408,20040614
720122,00114,STARR BROWNING AIRSTRIP,US,MT,K8S0 ,48.6,-113.117,+1419.2,20140731,20150930
720122,99999,BROWNING  STARR-BROWNING AIRS,US,,,48.6,-113.11,+1419.0,20041030,20041030
720141,04868,MARSHALL CO,US,IL,KC75 ,41.019,-89.386,+0173.1,20060101,20130430
720150,99999,COMANCHE  COMANCHE COUNTY-CIT,US,,,31.92,-98.6,+0423.0,20040803,20040930
720159,99999,HIGH ISLAND 264C             ,US,LA,KH08 ,28.467,-93.733,+0030.0,20040414,20130510
720160,63884,KEE FLD,US,WV,KI16 ,37.601,-81.559,+0543.5,20060101,20130501
720165,99999,WARNER SPRINGS GLIDERPORT,US,CA,,34.264,-116.854,+2056.8,20070307,20130430
720169,99999,WASHINGTON REGIONAL AIRPORT,US,MO,KFYG,38.583,-91,+0148.7,20180104,20180520
720170,63851,METROPOLIS MUNICIPAL AIRPORT,US,IL,KM30 ,37.186,-88.751,+0117.0,20060101,20200917
720175,99999,MONTICELLO,US,AR,KLLQ,33.633,-91.75,+0084.0,20180101,20180514
720193,00117,LONNIE POOL FIELD WEAVERVILLE,US,CA,KO54 ,40.747,-122.922,+0716.3,20101030,20200812
720193,99999,LONNIE POOL FLD / WEAVERVILLE,US,CA,KO54 ,40.747,-122.922,+0716.0,20180225,20180410
720254,99999,CHEHALIS CENTRALIA,US,WA,KCLS,46.677,-122.983,+0053.6,20080101,20180514
720259,63844,MACON CO,US,NC,K1A5 ,35.223,-83.419,+0615.7,20060101,20130501
720262,94076,MC ELROY AFLD,US,CO,K20V ,40.054,-106.369,+2258.9,20060101,20130430
720263,63834,ELBERT CO-PATZ FLD AIRPORT,US,GA,K27A ,34.095,-82.816,+0183.8,20050101,20190913
720263,99999,ELBERT CO PATZ FLD,US,GA,,34.095,-82.816,+0183.8,20040525,20180322
720264,63827,TAZEWELL COUNTY AIRPORT,US,VA,K6V3 ,37.064,-81.798,+0808.3,20060101,20130430
720274,93799,COLUMBUS CO MUNICIPAL ARPT,US,NC,KCPC,34.273,-78.715,+0029.9,20060101,20200919
720281,53969,WILBARGER CO,US,TX,KF05 ,34.226,-99.284,+0385.6,20060101,20130430
720289,63836,THOMSON-MCDUFFIE CO ARPT,US,GA,KHQU,33.53,-82.516,+0151.8,20050101,20200918
720294,99999,WASHINGTON WILKES CO,US,GA,KIIY,33.783,-82.817,+0197.0,20040525,20040831
720300,99999,WARNER-ROBINS(NEXRAD)        ,US,GA,KJGX,32.683,-83.35,+0159.0,20051224,20051224
720302,53963,CRKVIL-RED RIVER CO ARPT,US,TX,KLBR,33.593,-95.064,+0134.1,20060101,20170326
720316,12984,NUECES COUNTY ARIPORT,US,TX,KRBO,27.779,-97.691,+0024.1,20060101,20200819
720333,99999,CORONA MUNI,US,CA,KAJO,33.9,-117.6,+0162.0,20080101,20180303
720339,99999,RYAN FLD,US,AZ,KRYN,32.142,-111.175,+0736.7,20080101,20180514
720355,99999,GREATER CUMBERLAND,US,MD,KCBE,39.617,-78.767,+0236.0,20050524,20050524
720363,63872,WEEDON FIELD AIRPORT,US,AL,KEUF,31.951,-85.129,+0086.9,20060901,20190304
720365,99999,BROOKINGS AIRPORT,US,OR,KBOK,42.074,-124.29,+0140.0,20050729,20180520
720366,63879,BRAXTON CO,US,WV,K48I ,38.687,-80.652,+0388.6,20060101,20090815
720367,99999,PAYNESVILLE MUNI,US,MN,KPEX,45.372,-94.747,+0359.7,20080101,20180211
720377,99999,NEWPORT MUNI,US,AR,KM19 ,35.638,-91.176,+0072.8,20080101,20180322
720378,99999,NEW CASTLE MUNI,US,PA,KUCP,41.025,-80.413,+0326.7,20080101,20180501
720381,63885,JACK EDWARDS AIRPORT,US,AL,KJKA,30.291,-87.672,+0004.9,20060501,20200916
720382,99999,ST MICHAEL,US,AK,PAMK,63.49,-162.11,+0028.0,20080101,20180513
720385,99999,BERTHOUD PASS,US,CO,K0CO ,39.8,-105.767,+4113.0,20080101,20180520
720386,99999,WILLMAR MUNI,US,MN,KBDH,45.117,-95.133,+0343.0,20050101,20180322
720387,99999,HOBBS,US,NM,KHBB,32.767,-103.217,+1130.0,20070401,20120227
720388,99999,PUYALLUP THUN FIELD,US,WA,KPLU,47.1,-122.283,+0164.0,20080101,20180514
720389,99999,ST MARY'S RGNL / LEONARD TOWN,US,MD,,38.317,-76.55,+0043.3,20070521,20130430
720391,99999,BEEVILLE MUNI,US,TX,KBEA,28.35,-97.717,+0082.0,20080101,20180514
720392,99999,HOMERVILLE,US,GA,KHOE,31.056,-82.774,+0056.7,20080101,20180514
720393,99999,HEREFORD MUNI,US,TX,KHRX,34.858,-102.326,+1153.7,20080101,20180514
720394,99999,DEXTER B FLORENCE MEM FLD,US,AR,KADF,34.1,-93.066,+0055.5,20080101,20180514
720395,99999,PLEASANTON MUNI,US,TX,KPEZ,28.954,-98.52,+0131.1,20080101,20180514
720396,99999,TP MCCAMPBELL,US,TX,,27.913,-97.212,+0005.5,20070521,20070717
720397,99999,OHIO UNIVERSITY SNYDER FLD,US,OH,KUNI,39.211,-82.231,+0233.5,20080101,20180501
720398,99999,WAUTOMA MUNI,US,WI,,44.042,-89.304,+0261.8,20070521,20130425
720399,99999,CAMP BLANDING AAF,US,FL,K2CB ,29.952,-81.98,+0059.7,20080602,20141003
720401,99999,CLINTON MUNI,US,AR,KCCA,35.6,-92.45,+0157.0,20080101,20180514
720402,99999,SKYHAVEN,US,MO,K9K4 ,38.784,-93.803,+0242.3,20070628,20080106
720403,99999,KICKAPOO DOWNTOWN AIRPARK,US,TX,KT47 ,33.858,-98.49,+0304.2,20070628,20071015
720405,99999,BLAIR MUNI AIRPORT,US,NE,KBTA,41.417,-96.117,+0403.9,20080107,20180430
720406,99999,GNOSS FIELD AIRPORT,US,CA,KDVO,38.15,-122.55,+0000.6,20071114,20140730
720407,99999,ROBERT J MILLER AIRPARK,US,NJ,KMJX,39.933,-74.3,+0025.0,20080101,20180520
720408,99999,COATESVILLE/CARLSON AIRPORT,US,PA,KMQS,39.983,-75.867,+0201.0,20080101,20180514
720411,99999,ANGEL FIRE,US,NM,KAXX,36.417,-105.29,+2554.2,20080107,20180514
720412,99999,PERRY MUNI,US,IA,KPRO,41.828,-94.16,+0309.0,20080115,20180520
720413,99999,HALEYVIILLE / POSEY FIELD,US,AL,K1M4 ,34.267,-87.6,+0284.0,20080229,20180514
720414,99999,KNOX COUNTY,US,OH,K4I3 ,40.333,-82.517,+0363.0,20080229,20180520
720415,99999,FREMONT MUNI,US,MI,KFFX,43.433,-86,+0253.0,20080229,20180514
720424,99999,CAMP RED DEVIL,US,CO,K1PW ,38.5,-104.917,+1816.9,20131119,20131119
720426,99999,INDEPENDENCE MUNICIPAL AIRPOR,US,KS,KIDP,37.158,-95.778,+0251.5,20180101,20180514
720431,99999,LARNED PAWNEE CO,US,KS,KLQR,38.209,-99.086,+0613.0,20170615,20180828
720436,99999,ATKINSON MUNI,US,KS,KPTS,37.449,-94.731,+0289.6,20180106,20180322
720437,99999,CHEYENNE CO MUNI,US,KS,KSYF,39.761,-101.796,+1039.7,20180101,20180514
720443,99999,MADISONVILLE MUNI,US,KY,,37.355,-87.4,+0133.8,20111021,20130430
720448,99999,STUART POWELL FLD,US,KY,KDVK,37.578,-84.77,+0311.5,20080325,20180514
720455,99999,MADISON / RICHMOND,US,KY,,37.631,-84.332,+0304.8,20180101,20180514
720456,99999,MT STERLING MONTGOMERY CO,US,KY,KIOB,38.058,-83.98,+0310.6,20180101,20180514
720458,99999,BLUEBIRD,US,OK,,35.403,-96.832,+0313.9,20180101,20180514
720466,99999,SUPERDOME HELIPORT,US,LA,KVSH,29.95,-90.083,+0015.2,20120726,20150128
720467,99999,GEORGE R CARR MEM AIR FLD,US,LA,KBXA,30.814,-89.865,+0036.3,20180107,20180514
720479,99999,MONETT MUNI,US,MO,KHFJ,36.9,-94.017,+0401.0,20180106,20180322
720481,03817,MALDEN FAA AIRPORT,US,MO,KMAW,36.6,-89.983,+0092.1,20190516,20200430
720491,99999,GWINNER ROGER MELROE FLD,US,ND,KGWR,46.219,-97.643,+0385.9,20101227,20180430
720493,99999,NEWPORT STATE,US,VT,KEFK,44.889,-72.229,+0283.5,20080423,20180514
720498,99999,CHESTERFIELD AIRPORT,US,VA,KFCI,37.4,-77.517,+0072.2,20180207,20180514
720501,99999,ESSEX CO AIRPORT,US,VA,KXSA,37.85,-76.883,+0041.0,20080401,20180514
720505,99999,WALKER CO BEVILL FLD,US,AL,KJFX,33.902,-87.314,+0146.9,20180101,20180520
720518,00449,FORT BRIDGER AIRPORT,US,WY,KFBR,41.393,-110.406,+2145.5,20130801,20190521
720518,99999,FORT BRIDGER AIRPORT,US,WY,KFBR,41.392,-110.107,+2144.0,20120720,20120720
720521,99999,SHIVELY FLD,US,WY,KSAA,41.445,-106.824,+2137.3,20180101,20180514
720522,99999,DUBOIS MUNI AIRPORT,US,WY,KDUB,43.548,-109.69,+2224.1,20180101,20180514
720524,99999,FREMONT CO AIRPORT,US,CO,,38.428,-105.106,+1657.8,20120713,20130430
720529,00429,HOPKINS FIELD AIRPORT,US,CO,KAIB,38.239,-108.563,+1810.5,20121206,20200504
720529,99999,HOPKINS FIELD,US,CO,KAIB,38.233,-108.567,+1811.0,20080704,20080704
720531,99999,BLAKE FIELD / DELTA,US,CO,KAJZ,38.783,-108.067,+1583.0,20180101,20180514
720532,99999,HARRIET- ALEXANDER FIELD,US,CO,KANK,38.533,-106.05,+2294.0,20180101,20180514
720533,99999,BOULDER MUNICIPAL AIRPORT,US,CO,KBDU,40.039,-105.226,+1612.0,20180105,20180322
720534,99999,ERIE MUNI,US,CO,KEIK,40.017,-105.05,+1564.0,20100218,20140630
720535,99999,FORT MORGAN MUNI,US,CO,KFMM,40.334,-103.804,+1392.3,20180101,20180515
720537,99999,HOLYOKE,US,CO,KHEQ,40.569,-102.273,+1136.9,20180107,20180322
720538,99999,VANCE BRAND AIRPORT,US,CO,KLMO,40.167,-105.167,+1541.0,20180101,20180515
720539,99999,STEVENS FIELD,US,CO,KPSO,37.283,-107.05,+2335.0,20180101,20180515
720541,99999,UNIVERSITY OXFORD,US,MS,KUOX,34.383,-89.533,+0138.0,20080530,20180515
720542,99999,LARGO VISTA / RUSTY ALLEN AIR,US,TX,KRYW,30.5,-97.967,+0375.0,20080825,20180322
720543,99999,AUBURN / DE KALB CO,US,IN,KGWB,41.307,-85.064,+0268.2,20080612,20180514
720544,99999,STERLING MUNI,US,CO,KSTK,40.615,-103.265,+1230.8,20180128,20180515
720545,99999,CHESTER AIRPORT,US,CT,KSNC,41.384,-72.506,+0126.8,20080817,20180322
720546,99999,EUREKA,US,NV,,39.604,-116.005,+1814.8,20120209,20130430
720549,99999,CARSON CITY AIRPORT,US,NV,KCXP,39.192,-119.734,+1431.6,20180129,20180211
720558,99999,ELK CITY MUNI,US,OK,KELK,35.431,-99.394,+0610.2,20180101,20180515
720559,99999,STAN STAMPER MUNI,US,OK,KHHW,34.035,-95.542,+0174.0,20180107,20180322
720561,99999,WILLIAM R POGUE MUNI,US,OK,KOWP,36.167,-96.15,+0272.0,20180102,20180515
